lyric,occurence,pos
tomorrow,55,N
bass,54,N
ice,54,N
rompe,54,
summer,54,N
years,54,N
bit,53,N
breathe,53,V
fill,53,V
lucky,53,ADJ
mouth,53,N
scream,53,N
wherever,53,WH
pocket,52,N
wants,52,VBZ
whistle,52,N
behind,51,P
damaged,51,VD
dem,51,
eye,51,N
kick,51,N
king,51,N
lovin',51,
scene,51,N
somewhere,51,ADV
write,51,V
burning,50,VG
drank,50,VD
middle,50,ADJ
moving,50,VG
nights,50,N
promise,50,N
rollin',50,
single,50,DET
thang,50,
tight,50,ADJ
bill,49,N
ends,49,N
handle,49,V
known,49,VN
lies,49,VBZ
lover,49,N
nowhere,49,ADV
runnin',49,VG
shoulder,49,N
singin',49,
cyclone,48,
dreams,48,N
edge,48,N
feet,48,N
kill,48,V
nice,48,ADJ
rolling,48,VG
seat,48,N
stick,48,V
taking,48,VG
wide,48,ADJ
everyday,47,ADJ
fucking,47,
gimme,47,VB+PPO
haters,47,
slowly,47,ADV
1,46,NUM
blah,46,
finally,46,ADV
lets,46,VBZ
louder,46,ADJ
mess,46,N
seem,46,V
tired,46,VN
worth,46,ADJ
apart,45,ADV
flo,45,
hump,45,
pass,45,V
read,45,V
songs,45,N
stare,45,V
strong,45,ADJ
t-pain,45,
telling,45,VG
track,45,N
3,44,NUM
holding,44,VG
hurts,44,VBZ
momma,44,
ohhh,44,
pussy,44,N
smoke,44,N
wiggle,44,N
calling,43,VG
dougie,43,
fresh,43,ADJ
glass,43,N
guy,43,N
learn,43,V
missing,43,VG
paper,43,N
pick,43,V
rest,43,N
secret,43,ADJ
stereo,43,N
tonight's,43,N
block,42,N
callin',42,VG
cars,42,N
comin',42,N
ella,42,
lil',42,
oh-oh,42,
realize,42,V
sit,42,V
skin,42,N
sweat,42,N
wear,42,V
yo',42,
awake,41,ADJ
bag,41,N
brown,41,ADJ
cash,41,N
de,41,FW
fame,41,N
funny,41,ADJ
gon,41,
hang,41,V
holla,41,
mirror,41,N
sent,41,VN
soon,41,ADV
stronger,41,ADJ
wasn't,41,V
cake,40,N
green,40,ADJ
happy,40,ADJ
hook,40,N
igh,40,
raise,40,V
rihanna,40,
scared,40,VN
tear,40,V
thousand,40,NUM
turned,40,VD
akon,39,
being,39,V
bought,39,VD
clean,39,ADJ
deserve,39,V
dick,39,
great,39,ADJ
higher,39,ADJ
plus,39,CNJ
sip,39,N
style,39,N
such,39,ADJ
win,39,V
champagne,38,N
chevy,38,
jagger,38,
jump,38,V
pants,38,N
romance,38,N
shot,38,N
staring,38,VG
taffy,38,N
tha,38,
thank,38,V
voice,38,N
ways,38,N
west,38,N
dis,37,
laffy,37,
super,37,ADJ
tellin',37,
tie,37,N
walking,37,VG
who's,37,WH
child,36,N
class,36,N
cover,36,V
crack,36,N
diva,36,N
doubt,36,N
four,36,NUM
giving,36,VG
harder,36,ADV
heaven,36,N
laugh,36,N
letting,36,VG
memories,36,N
minute,36,N
sayin',36,N
supposed,36,VN
walked,36,VD
admit,35,V
country,35,N
each,35,DET
favorite,35,ADJ
freak,35,N
girlfriend,35,
gives,35,VBZ
hotel,35,N
melody,35,N
mr,35,
rather,35,P
stacks,35,N
summertime,35,N
switch,35,N
team,35,N
tick,35,V
turns,35,VBZ
across,34,P
aint,34,
amazing,34,ADJ
beer,34,N
bleeding,34,VG
called,34,VN
ceiling,34,N
clear,34,ADJ
figure,34,N
gangnamseutail,34,
grow,34,V
keys,34,N
living,34,VG
makin',34,
naturally,34,ADV
past,34,N
price,34,N
que,34,FW
should've,34,
thug,34,N
water,34,N
woke,34,VD
beats,33,VBZ
clock,33,N
diss,33,
dude,33,
faster,33,ADV
fear,33,N
hopeless,33,ADJ
moon,33,N
reach,33,V
shots,33,N
speak,33,V
stuntin,33,
ten,33,NUM
bank,32,N
disturbia,32,
dovey,32,
ha-ha,32,
hearts,32,N
hop,32,
hotter,32,ADJ
hundred,32,NUM
ie,32,
instead,32,ADV
liked,32,VD
lovey,32,
mo,32,
plan,32,N
pour,32,V
rules,32,N
shoot,32,V
short,32,ADJ
story,32,N
streets,32,N
sugar,32,N
takes,32,VBZ
window,32,N
wrap,32,V
anybody,31,PRO
asleep,31,ADV
bigger,31,ADJ
cant,31,N
countin',31,VG
danced,31,VD
fact,31,N
five,31,NUM
impossible,31,ADJ
independent,31,ADJ
lord,31,N
losing,31,VG
memory,31,N
motherfucker,31,
nah,31,
ones,31,N
pole,31,N
pride,31,N
pump,31,N
school,31,N
shoes,31,N
thick,31,ADJ
trip,31,N
use,31,N
we'd,31,PRO
5,30,NUM
american,30,
birthday,30,N
chest,30,N
crowd,30,N
dress,30,N
excuse,30,N
fool,30,N
friday,30,
gal,30,N
getta,30,
glad,30,ADJ
gun,30,N
isn't,30,V
it'll,30,PRO
kid,30,N
kids,30,N
lead,30,V
neck,30,N
ohhhh,30,
paul,30,
picture,30,N
plans,30,N
playin',30,VG
street,30,N
thoughts,30,N
un-huh,30,
whenever,30,WH
4,29,NUM
angel,29,N
attention,29,N
battlefield,29,N
brain,29,N
brand,29,N
doctor,29,N
gettin,29,
glamorous,29,ADJ
happen,29,V
i-i,29,
outside,29,P
record,29,N
sense,29,N
sight,29,N
sittin',29,
sleeping,29,VG
space,29,N
starts,29,VBZ
trippin',29,
turning,29,VG
twice,29,ADV
warm,29,ADJ
waste,29,N
wave,29,N
women,29,N
yesterday,29,N
zone,29,N
'cuz,28,
above,28,P
almost,28,ADV
are-are,28,
attack,28,N
boyfriend,28,
california,28,
candy,28,N
chicks,28,N
died,28,VD
drug,28,N
fingers,28,N
guys,28,N
kissed,28,VD
leaving,28,VG
loves,28,VBZ
mistakes,28,N
played,28,VD
point,28,N
sad,28,ADJ
she'll,28,PRO
spin,28,V
tock,28,
vip,28,
waitin',28,
wall,28,N
weed,28,V
wishing,28,VG
addicted,27,VN
answer,27,N
apologize,27,V
biggest,27,ADJ
bottle,27,N
champion,27,N
dirt,27,N
dollars,27,N
dreaming,27,VG
flow,27,N
lately,27,ADV
looked,27,VD
lookin,27,
ludacris,27,
notice,27,N
ooo,27,
question,27,N
river,27,N
roof,27,N
sean,27,
shame,27,N
steady,27,ADJ
tongue,27,N
uh-huh,27,UH
watchin',27,
whutooo,27,
blown,26,VN
boo,26,V
bridge,26,N
chase,26,N
dont,26,
drinks,26,N
eat,26,V
faces,26,N
fighting,26,VG
goddamn,26,ADJ
grill,26,N
here's,26,ADV
life's,26,N
missed,26,VN
