lyric,occurence,pos
pray,6,V
pride,6,N
princess,6,N
rain,6,N
recognize,6,V
romeo,6,
roof,6,N
sayin',6,N
saying,6,VG
sexbirthday,6,
singing,6,VG
six,6,NUM
smells,6,VBZ
spit,6,V
steady,6,ADJ
step,6,N
stopping,6,VG
straight,6,ADJ
stronger,6,ADJ
swag,6,
telling,6,VG
tight,6,ADJ
tongue,6,N
tractor,6,N
tried,6,VD
twice,6,ADV
undress,6,
vegas,6,
voice,6,N
waitin',6,
waking,6,VG
wassup,6,
watching,6,VG
win,6,V
women,6,N
wonder,6,V
wrote,6,VD
you'd,6,PRO
you-you,6,
young,6,ADJ
yourself,6,PRO
'tron,5,
9-1-1,5,
aaahhh,5,
ahh,5,
attention,5,N
beats,5,VBZ
bitch,5,N
bottle,5,N
bout,5,N
breakin',5,
breathe,5,V
butterflies,5,N
cares,5,VBZ
changed,5,VN
closer,5,ADV
closet,5,N
colby,5,
cover,5,V
deck,5,N
deserve,5,V
distance,5,N
divide,5,V
doin',5,VG
dreamin',5,
eat,5,V
em,5,PRO
energy,5,N
fan,5,N
father,5,N
favorite,5,ADJ
feet,5,N
fingers,5,N
full,5,ADJ
glitter,5,N
guys,5,N
has,5,V
haters,5,
havin',5,
hello,5,UH
hurt,5,V
issue,5,N
justin,5,
keri,5,
kesha,5,
knock,5,V
lot,5,N
mc,5,
middle,5,ADJ
mistake,5,N
model,5,N
moon,5,N
most,5,DET
nowhere,5,ADV
o'donis,5,
pair,5,N
planning,5,VG
prove,5,V
quiet,5,ADJ
remind,5,V
rules,5,N
runnin',5,VG
rush,5,N
safe,5,ADJ
sexy,5,ADJ
shots,5,N
shutting,5,VG
sip,5,N
slowly,5,ADV
sorry,5,ADJ
soul,5,N
stacks,5,N
stars,5,N
started,5,VD
style,5,N
such,5,ADJ
swagger,5,
talked,5,VD
ten,5,NUM
thugs,5,N
timberlake,5,
tomorrow,5,N
triple,5,N
upset,5,VN
wasted,5,VN
we've,5,PRO
weren't,5,V
why'd,5,
word,5,N
words,5,N
write,5,V
ya-ha,5,
yesterday,5,N
'cuz,4,
10,4,NUM
a-a-a-a-a-a-a-a-a-a-a-a-alcohol,4,
above,4,P
act,4,N
advice,4,N
afraid,4,ADJ
apart,4,ADV
arrive,4,V
awfully,4,DET
bank,4,N
bigger,4,ADJ
blueprint,4,N
boca,4,
brain,4,N
brand,4,N
bust,4,N
cars,4,N
cash,4,N
catch,4,V
center,4,N
chasin',4,
check,4,N
chick,4,N
chicken,4,N
chicks,4,N
class,4,N
coldest,4,ADJ
completely,4,ADV
crowd,4,N
danced,4,VD
dancin,4,
dee,4,
di,4,
dick,4,
dine,4,V
dirty,4,ADJ
disaster,4,N
divas,4,
doing,4,VG
dollar,4,N
doubt,4,N
drake,4,
drinkin',4,
dropping,4,VG
eh,4,UH
escape,4,V
explain,4,V
f,4,N
fairytale,4,
famous,4,ADJ
feelings,4,N
fired,4,VN
flame,4,N
flash,4,N
fool,4,N
freshmen,4,N
fried,4,VN
gift,4,N
goose,4,N
gozar,4,
grace,4,N
grande,4,
granted,4,VN
grind,4,V
guapa,4,
gun,4,N
hatin',4,
haven't,4,V
henny,4,
higher,4,ADJ
hollywood,4,
honest,4,ADJ
hooked,4,VN
horse,4,N
hurts,4,VBZ
hypnotic,4,ADJ
im'a,4,
insecure,4,ADJ
isn't,4,V
j-j-just,4,
jet,4,N
jugar,4,
keg,4,N
known,4,VN
legs,4,N
louis,4,
love's,4,N
makin',4,
making,4,VG
means,4,N
mess,4,N
million,4,NUM
mistakes,4,N
mother,4,N
mountain,4,N
